algorithm,join_ratio,rep,initial_accuracy_r0,final_accuracy_r50,best_accuracy_round_series,best_accuracy_round,normalized_aulc,gain_r0_to_r10,gain_r0_to_r20,mean_gain_per_round_r0_r10,absolute_threshold,first_round_absolute,sustained_round_absolute,accuracy_round_10,accuracy_round_20,accuracy_round_30,accuracy_round_40,accuracy_round_50,relative_threshold_90,first_round_relative_90,sustained_round_relative_90,relative_threshold_95,first_round_relative_95,sustained_round_relative_95,relative_threshold_99,first_round_relative_99,sustained_round_relative_99
FedAvg,1.0,rep3,0.0569,0.715,0.715,50,0.658301,0.5809000000000001,0.6257,0.05809000000000001,0.65,12.0,12.0,0.6378,0.6826,0.6986,0.7095,0.715,0.6435,11.0,11.0,0.6792499999999999,19.0,19.0,0.70785,38.0,38.0
FedAvg,1.0,rep4,0.0569,0.7141,0.7145,47,0.658188,0.5828000000000001,0.6268,0.05828000000000001,0.65,12.0,12.0,0.6397,0.6837,0.6979,0.7086,0.7141,0.64305,11.0,11.0,0.678775,19.0,19.0,0.7073550000000001,40.0,40.0
FedAvg,1.0,rep5,0.0569,0.7161,0.7161,49,0.6583559999999998,0.5805,0.6261000000000001,0.058050000000000004,0.65,12.0,12.0,0.6374,0.683,0.6991,0.709,0.7161,0.64449,11.0,11.0,0.680295,20.0,20.0,0.708939,40.0,40.0
FedProx,0.1,rep1,0.0569,0.456,0.6943,30,0.5095289999999999,0.37979999999999997,0.5412,0.03798,0.65,30.0,,0.4367,0.5981,0.6943,0.6602,0.456,0.62487,30.0,,0.659585,30.0,,0.687357,30.0,
FedProx,0.1,rep2,0.0569,0.6598,0.6963,33,0.5403330000000001,0.4261,0.5565,0.042609999999999995,0.65,23.0,50.0,0.483,0.6134,0.6538,0.6769,0.6598,0.6266700000000001,23.0,50.0,0.661485,29.0,,0.689337,33.0,
FedProx,0.1,rep3,0.0569,0.5607,0.7018,45,0.5060959999999999,0.5765,0.4165,0.05765,0.65,33.0,,0.6334,0.4734,0.5502,0.6507,0.5607,0.63162,10.0,,0.6667099999999999,45.0,,0.694782,45.0,
FedProx,0.1,rep4,0.0569,0.709,0.709,50,0.530775,0.4743,0.47069999999999995,0.04743,0.65,28.0,50.0,0.5312,0.5276,0.6118,0.5943,0.709,0.6381,25.0,50.0,0.67355,31.0,50.0,0.7019099999999999,50.0,50.0
FedProx,0.1,rep5,0.0569,0.6865,0.692,43,0.526542,0.3573,0.5533,0.03573,0.65,24.0,50.0,0.4142,0.6102,0.5787,0.6539,0.6865,0.6228,24.0,50.0,0.6573999999999999,24.0,50.0,0.6850799999999999,43.0,50.0
FedProx,0.25,rep1,0.0569,0.6528,0.7129,48,0.587265,0.45459999999999995,0.5526000000000001,0.045459999999999993,0.65,18.0,50.0,0.5115,0.6095,0.6456,0.6447,0.6528,0.64161,18.0,50.0,0.6772549999999999,29.0,,0.7057709999999999,45.0,
FedProx,0.25,rep2,0.0569,0.6987,0.7031,40,0.579252,0.4701,0.5225000000000001,0.04701,0.65,18.0,50.0,0.527,0.5794,0.6706,0.7031,0.6987,0.63279,18.0,50.0,0.6679449999999999,22.0,50.0,0.6960689999999999,31.0,50.0
FedProx,0.25,rep3,0.0569,0.6431,0.7054,37,0.585618,0.3344,0.5107,0.03344,0.65,15.0,,0.3913,0.5676,0.6372,0.7019,0.6431,0.6348600000000001,11.0,50.0,0.67013,33.0,,0.698346,37.0,
FedProx,0.25,rep4,0.0569,0.7061,0.7061,50,0.594482,0.52,0.5988,0.052000000000000005,0.65,17.0,46.0,0.5769,0.6557,0.6175,0.6987,0.7061,0.63549,14.0,46.0,0.6707949999999999,24.0,46.0,0.699039,37.0,50.0
FedProx,0.25,rep5,0.0569,0.6854,0.7046,47,0.584857,0.3741,0.5223000000000001,0.03741,0.65,12.0,47.0,0.431,0.5792,0.6778,0.6775,0.6854,0.63414,12.0,46.0,0.66937,24.0,47.0,0.697554,47.0,
FedProx,0.5,rep1,0.0569,0.7089,0.7093,46,0.624958,0.5804,0.6223000000000001,0.05804,0.65,16.0,25.0,0.6373,0.6792,0.6983,0.6943,0.7089,0.6383700000000001,11.0,25.0,0.673835,20.0,35.0,0.702207,43.0,50.0
FedProx,0.5,rep2,0.0569,0.7038,0.7109,49,0.6321030000000001,0.5877,0.6224000000000001,0.05877,0.65,17.0,25.0,0.6446,0.6793,0.6639,0.7038,0.7038,0.63981,10.0,24.0,0.6753549999999999,20.0,49.0,0.7037909999999999,40.0,49.0
FedProx,0.5,rep3,0.0569,0.6686,0.7134,44,0.6245149999999999,0.4372,0.6075,0.043719999999999995,0.65,13.0,35.0,0.4941,0.6644,0.6948,0.7003,0.6686,0.6420600000000001,11.0,35.0,0.67773,22.0,,0.7062660000000001,44.0,
