metric,algorithm,join_ratio_a,join_ratio_b,mann_whitney_u,p_value_raw,cliffs_delta_b_minus_a,cliffs_magnitude,p_value_holm,significant_holm_0_05
execution_time_s,SCAFFOLD,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.5,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
execution_time_s,SCAFFOLD,0.75,1.0,8.0,0.42063492063492064,0.36,medium,0.42063492063492064,False
estimated_energy_kj,FedAvg,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.25,0.5,4.0,0.09523809523809523,0.68,large,0.2857142857142857,False
estimated_energy_kj,FedAvg,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedAvg,0.5,0.75,11.0,0.8412698412698413,0.12,negligible,0.8412698412698413,False
estimated_energy_kj,FedAvg,0.5,1.0,8.0,0.42063492063492064,0.36,medium,0.8412698412698413,False
estimated_energy_kj,FedAvg,0.75,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.25,0.5,4.0,0.09523809523809523,0.68,large,0.19047619047619047,False
estimated_energy_kj,FedProx,0.25,0.75,2.0,0.031746031746031744,0.84,large,0.09523809523809523,False
estimated_energy_kj,FedProx,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.5,0.75,6.0,0.2222222222222222,0.52,large,0.2222222222222222,False
estimated_energy_kj,FedProx,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,FedProx,0.75,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.1,0.25,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.1,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.1,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.1,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.25,0.5,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.25,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.25,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.5,0.75,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.5,1.0,0.0,0.007936507936507936,1.0,large,0.07936507936507936,False
estimated_energy_kj,SCAFFOLD,0.75,1.0,8.0,0.42063492063492064,0.36,medium,0.42063492063492064,False
