metric,algorithm,n_total,groups,kruskal_h,p_value,epsilon_squared,significant_0_05
best_accuracy,FedAvg,25,5,15.441631396691049,0.003867670383007015,0.5720815698345525,True
best_accuracy,FedProx,25,5,17.664000000000016,0.0014353341098084027,0.6832000000000008,True
best_accuracy,SCAFFOLD,25,5,20.76120092378753,0.00035312435948180355,0.8380600461893766,True
execution_time_s,FedAvg,25,5,19.620923076923077,0.0005932188257905014,0.7810461538461538,True
execution_time_s,FedProx,25,5,22.20553846153848,0.00018239517339863962,0.9102769230769241,True
execution_time_s,SCAFFOLD,25,5,22.072615384615403,0.0001938589026325582,0.9036307692307701,True
estimated_energy_kj,FedAvg,25,5,18.926769230769253,0.0008124122642186964,0.7463384615384626,True
estimated_energy_kj,FedProx,25,5,20.876307692307705,0.0003350605653772198,0.8438153846153853,True
estimated_energy_kj,SCAFFOLD,25,5,22.072615384615403,0.0001938589026325582,0.9036307692307701,True
