metric,algorithm,n_total,groups,kruskal_h,p_value,epsilon_squared,significant_0_05
best_accuracy,FedAvg,25,5,15.441631396691047,0.003867670383007,0.5720815698345525,True
best_accuracy,FedProx,25,5,17.664000000000016,0.0014353341098084,0.6832000000000008,True
best_accuracy,SCAFFOLD,25,5,20.76120092378753,0.0003531243594818,0.8380600461893766,True
execution_time_s,FedAvg,25,5,19.62092307692308,0.0005932188257905,0.7810461538461538,True
execution_time_s,FedProx,25,5,22.20553846153848,0.0001823951733986,0.910276923076924,True
execution_time_s,SCAFFOLD,25,5,22.072615384615403,0.0001938589026325,0.90363076923077,True
estimated_energy_kj,FedAvg,25,5,18.926769230769253,0.0008124122642186,0.7463384615384626,True
estimated_energy_kj,FedProx,25,5,20.876307692307705,0.0003350605653772,0.8438153846153853,True
estimated_energy_kj,SCAFFOLD,25,5,22.072615384615403,0.0001938589026325,0.90363076923077,True
