algorithm,cost_dimension,candidate_join_ratio,normalized_distance_to_chord,accuracy_mean,cost_value,exploratory_only
FedAvg,time,0.25,0.31362873021245524,0.7089142857142857,2840.18,True
FedAvg,energy,0.25,0.29344172550696856,0.7089142857142857,42.6511278125,True
FedProx,time,0.75,0.19297735256458315,0.7149828571428571,6192.09,True
FedProx,energy,0.75,0.20571092304056388,0.7149828571428571,95.1308800625,True
SCAFFOLD,time,0.5,0.02773202955175875,0.7440114285714285,3948.15,True
SCAFFOLD,energy,0.75,0.06405869164510496,0.7525714285714286,92.41552737500001,True
